Station Name,Charging Time (min)_0,Charging Time (min)_1,Charging Time (min)_2,Charging Time (min)_3,Charging Time (min)_4,Charging Time (min)_5,Charging Time (min)_6,Occupied Time (min)_0,Occupied Time (min)_1,Occupied Time (min)_2,Occupied Time (min)_3,Occupied Time (min)_4,Occupied Time (min)_5,Occupied Time (min)_6
PALO ALTO CA / BRYANT # 1,18.616666666666667,256.3833333333333,609.9499999999999,26.666666666666668,0.0,168.73333333333335,128.36666666666667,18.933333333333334,259.18333333333334,1067.5666666666666,500.5333333333334,0.0,169.46666666666667,128.73333333333335
PALO ALTO CA / BRYANT #1,249293.9,258469.7,264254.8,257502.06666666668,249459.71666666667,163187.18333333332,128053.76666666666,305686.35,318303.73333333334,320508.48333333334,321483.5333333333,306067.38333333336,226002.0,172715.41666666666
PALO ALTO CA / BRYANT #2,258009.58333333334,264066.36666666664,271188.11666666664,263201.6666666667,260860.88333333333,175612.18333333335,139101.95,318315.5833333333,327019.0333333333,337543.95,328101.1666666667,330684.25,241690.28333333333,193307.06666666668
PALO ALTO CA / BRYANT #3,79793.05,81182.68333333333,86722.46666666667,86583.48333333334,84916.45,53478.05,42347.6,96433.65,95475.51666666666,103869.18333333333,105287.15,106466.6,74047.95,54662.96666666667
PALO ALTO CA / BRYANT #4,73312.08333333333,69507.75,77042.03333333334,77728.6,73097.36666666667,42681.416666666664,27864.0,83125.18333333333,78146.13333333333,86076.56666666667,87171.25,82906.4,48741.066666666666,31325.116666666665
PALO ALTO CA / BRYANT #5,87575.01666666666,93523.11666666667,100266.48333333334,103550.01666666666,108369.8,66673.6,46314.55,99288.75,106031.9,115248.68333333333,116540.86666666667,123786.06666666667,75127.18333333333,54483.76666666667
PALO ALTO CA / BRYANT #6,106261.01666666666,112091.58333333333,116191.43333333333,117695.66666666667,117964.11666666667,72171.41666666667,52269.1,120155.28333333334,126986.68333333333,138758.95,138397.71666666667,137131.26666666666,83283.28333333334,58436.85
PALO ALTO CA / CAMBRIDGE #1,178156.9,183232.73333333334,194652.3,198040.55,186966.7,103094.63333333333,131643.41666666666,215454.65,222103.88333333333,234972.9,238334.1,227857.58333333334,129241.51666666666,157114.63333333333
PALO ALTO CA / CAMBRIDGE #2,166077.96666666667,173234.7,179406.76666666666,184647.6,167104.48333333334,72682.71666666666,82392.83333333333,194818.18333333332,204985.9,216453.1,219408.86666666667,207074.61666666667,93664.35,102392.16666666667
PALO ALTO CA / CAMBRIDGE #3,60238.333333333336,66141.86666666667,71599.13333333333,72131.61666666667,68010.48333333334,32686.933333333334,42551.5,69444.53333333334,75923.65,82783.3,81648.25,78006.7,35825.65,46242.75
PALO ALTO CA / CAMBRIDGE #4,45625.816666666666,49190.3,51819.6,53646.433333333334,51932.8,23805.216666666667,33131.13333333333,52851.96666666667,56730.083333333336,63309.2,62402.166666666664,59844.066666666666,26591.283333333333,36383.73333333333
PALO ALTO CA / CAMBRIDGE #5,65637.41666666667,62513.95,67486.83333333333,70390.13333333333,68005.88333333333,34870.45,51415.25,77330.36666666667,73233.25,78990.73333333334,81562.83333333333,79352.46666666666,39191.566666666666,56434.01666666667
PALO ALTO CA / HAMILTON #1,261074.71666666667,275329.5,274655.85,266656.2,270088.01666666666,198598.0,171038.25,317284.25,337841.65,343042.26666666666,329874.3333333333,325467.3,254532.15,216963.96666666667
PALO ALTO CA / HAMILTON #2,414199.51666666666,436217.6,444594.55,429116.2,424357.0333333333,322908.81666666665,268623.51666666666,508801.13333333336,534454.2166666667,542712.9333333333,525693.9,522374.7833333333,408942.05,353078.11666666664
PALO ALTO CA / HIGH #1,184628.53333333333,192880.68333333332,195426.31666666668,196084.38333333333,187689.91666666666,133502.46666666667,120072.35,223593.75,232603.0,240492.9,235495.8,237799.81666666668,172890.25,151423.93333333332
PALO ALTO CA / HIGH #2,120147.31666666667,122276.76666666666,130560.71666666666,129296.41666666667,131378.25,78386.36666666667,73271.33333333333,141026.13333333333,147510.38333333333,155399.48333333334,154509.31666666668,154001.71666666667,95971.55,88933.63333333333
PALO ALTO CA / HIGH #3,139834.93333333332,142202.78333333333,141449.78333333333,148023.05,146038.36666666667,102057.8,90655.18333333333,162281.18333333332,164249.21666666667,167526.61666666667,171830.41666666666,173746.61666666667,123050.68333333333,108216.1
PALO ALTO CA / HIGH #4,248405.98333333334,249316.25,256781.9,254568.08333333334,258261.23333333334,155505.63333333333,127478.68333333333,294735.2833333333,295748.5,311669.45,311031.38333333336,314408.93333333335,192224.23333333334,158873.55
PALO ALTO CA / MPL #1,16515.116666666665,16038.133333333333,17645.466666666667,15022.733333333334,24364.666666666668,17649.583333333332,16178.133333333333,26926.633333333335,27078.583333333332,29655.316666666666,26949.033333333333,33611.75,32163.916666666668,31473.55
PALO ALTO CA / MPL #2,25067.733333333334,25804.433333333334,23928.916666666668,27057.166666666668,36441.7,22717.25,26736.433333333334,49415.86666666667,51224.65,47971.48333333333,51838.183333333334,60994.05,38090.76666666667,39689.98333333333
PALO ALTO CA / MPL #3,25102.233333333334,25841.433333333334,21075.45,22772.61666666667,28238.65,21084.216666666667,24703.016666666666,42159.23333333333,43670.333333333336,41696.666666666664,36436.583333333336,42533.65,33614.75,39756.9
PALO ALTO CA / MPL #4,122755.56666666667,128937.53333333334,127418.4,116606.41666666667,128976.01666666666,122179.43333333333,120486.6,152880.5,158255.45,156693.2,145345.46666666667,158770.15,159550.25,152640.88333333333
PALO ALTO CA / MPL #5,114866.98333333334,122035.16666666667,120262.65,116062.95,115496.85,119862.55,119252.06666666667,143971.33333333334,154219.11666666667,153265.75,145361.41666666666,140706.38333333333,155776.61666666667,152084.05
PALO ALTO CA / MPL #6,134476.81666666668,137389.23333333334,141252.68333333332,139978.85,139029.11666666667,146098.86666666667,147394.21666666667,172052.78333333333,180753.58333333334,182005.45,182318.96666666667,179737.15,188091.45,185900.13333333333
PALO ALTO CA / RINCONADA LIB 1,98915.51666666666,102451.65,105753.35,107676.6,100681.5,115413.05,117715.4,126587.05,136324.88333333333,139098.45,133955.36666666667,136712.46666666667,144216.16666666666,156556.16666666666
PALO ALTO CA / RINCONADA LIB 2,89694.06666666667,97112.48333333334,90451.75,92772.46666666667,88089.25,102416.38333333333,108916.4,113718.75,121645.46666666666,117711.75,116990.63333333333,115037.23333333334,131118.93333333332,145179.83333333334
PALO ALTO CA / RINCONADA LIB 3,103775.43333333333,104147.23333333334,105234.48333333334,108625.23333333334,106542.71666666666,115843.4,116863.85,134054.61666666667,134648.31666666668,137983.66666666666,138056.45,134120.03333333333,143408.58333333334,159186.91666666666
PALO ALTO CA / SHERMAN 1,0.0,0.0,392.43333333333334,635.6500000000001,0.0,0.0,0.0,0.0,0.0,393.79999999999995,637.4333333333334,0.0,0.0,0.0
PALO ALTO CA / SHERMAN 11,0.0,177.8,0.0,0.0,0.0,0.0,0.0,0.0,178.43333333333334,0.0,0.0,0.0,0.0,0.0
PALO ALTO CA / SHERMAN 14,0.0,0.0,0.0,0.0,107.73333333333333,0.0,74.91666666666667,0.0,0.0,0.0,0.0,108.48333333333333,0.0,75.16666666666667
